72.6081	72.83251
59.79093	69.93322
52.51018	67.97556
47.95309	67.15538
44.62138	67.35178
41.75267	67.7961
40.50964	69.17493
39.54221	72.20744
38.36573	76.54919
38.65731	82.22699
	38.97301		90.0075
	38.73618		99.19183
	38.31897		109.1039
	37.88969		118.3724
	38.11538		126.5587
	38.32672		133.2107
	37.85875		137.8062
	36.96207		141.3058
	36.46492		145.3588
	35.58365		149.2356
	35.06379		151.3839
	34.55278		152.405
	33.78928		154.6792
	33.77459		159.8296
	33.5741		167.8583
	33.47924		176.8566
	33.69325		184.5831
	34.26859		191.3601
	34.70308		199.2107
	35.14027		208.7083
	35.94974		219.5885
	36.62233		233.0526
	37.16907		250.9557
	37.93982		273.4493
	38.68432		299.1719
	38.7438		325.5923
	38.59087		351.42
	38.33052		378.2447
	37.80153		407.0689
	37.46888		437.9971
